"","Transaction ID","Date","value_date","narration","ref_no","mode","merchant_category","repeat_transaction_category","transaction amount  - Debit","transaction amount   - Credit","balance"
"11",11,"04/01/2018","04/01/2018","NEFT-YUVRAJ MANMATH MATHPATI Sender Brn:HDFC0001001 UTR No:N003180445403730 SENDER Bank:HDFC BANK LTD Sender Ref No:HDFC0000001",0,"NEFT","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"28029.99"
"12",12,"04/01/2018","04/01/2018","CRTR*4701/000000177975/WC **99/04 -01-2018",0,"0","CHEQUE","--UNIQUE TRANSACTION-- ",0,10000,"38029.99"
"13",13,"04/01/2018","04/01/2018","IMPS/P2A/800420729033/9422079141/9 002/MOBUA322478",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"58029.99"
"14",14,"05/01/2018","05/01/2018","NEFT-AKUMAR Sender Brn:HDFC0000001 UTR No:N0051804411495290 SENDER Bank:HDFC BANK LTD Sender Ref No:HDFC0000001",0,"NEFT","Bank Transfers","--UNIQUE TRANSACTION-- ",0,8000,"66029.99"
"15",15,"05/01/2018","05/01/2018","ACH DEBIT:TP ACH CAPITAL FIRST,71074114",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-10193,0,"55836.99"
"16",16,"05/01/2018","05/01/2018","ACH DEBIT:SHRIRAM CITY UNION F,PMPRCCM1708290018",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-7300,0,"48536.99"
"17",17,"05/01/2018","05/01/2018","ACH DEBIT:HDFC BANK LIMITED,0001149597028",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-23101,0,"25435.99"
"18",18,"05/01/2018","05/01/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,72904798",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-7874,0,"17561.99"
"19",19,"07/01/2018","07/01/2018","IMPS/P2A/800708991938/501002029188 73HDFC/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-12000,0,"5561.99"
"20",20,"08/01/2018","08/01/2018","IMPS/P2A/800720704194/90051797073 MAHB/ATUL",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-2000,0,"3,561.99"
"21",21,"09/01/2018","09/01/2018","ACH DR RTN CHGS DTD09 JANUARY18",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-59,0,"3,502.99"
"22",22,"12/01/2018","12/01/2018","IMPS/P2A/801211314291/8821851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,42300,"45,802.99"
"23",23,"12/01/2018","12/01/2018","PMC/P2A/801211822934/247100100002133PMCB0000247/G",0,"0","Bank Transfers","--UNIQUE TRANSACTION-- ",-42300,0,"3,502.99"
"24",24,"12/01/2018","12/01/2018","IMPS/P2A/801212823282/501002029188 73HDFC/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-3000,0,"502.99"
"25",25,"15/01/2018","15/01/2018","IMPS/P2A/801519009238/8821111002/9 088/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"20502.99"
"26",26,"16/01/2018","16/01/2018","ACH DEBIT:HDFC BANK LIMITED,0000048995809",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-18995,0,"1507.99"
"27",27,"01/02/2018","01/02/2018","NEFT-OOPSCODE INFOTECH PRIVATE LIMITED-INDB0000009",0,"NEFT","Bank Transfers","REPEATING TRANSACTION--  NEFT-OOPSCODE INFOTE   172000",0,172000,"173507.99"
"28",28,"01/02/2018","01/02/2018","PMC/P2A/803112232513/247100100002133PMCB0000247/OK",0,"0","Bank Transfers","--UNIQUE TRANSACTION-- ",-10600,0,"162907.99"
"29",29,"01/02/2018","01/02/2018","IMPS/P2A/803115237402/501002029188 73HDFC/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-10000,0,"152907.99"
"30",30,"02/02/2018","02/02/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,79518409",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-13800,0,"139107.99"
"31",31,"02/02/2018","02/02/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,79922194",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-12524,0,"126583.99"
"32",32,"02/02/2018","02/02/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,79928842",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-7874,0,"118709.99"
"33",33,"02/02/2018","02/02/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,79928843",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-24173,0,"94536.99"
"34",34,"02/02/2018","02/02/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,79945710",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-17012,0,"77524.99"
"35",35,"02/02/2018","02/02/2018","PMC/P2A/803319302092/247100100002133PMCB0000247/OK",0,"0","Bank Transfers","--UNIQUE TRANSACTION-- ",-15000,0,"62524.99"
"36",36,"02/02/2018","02/02/2018","IMPS/P2A/803319329198/8821851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,15000,"77524.99"
"37",37,"05/02/2018","05/02/2018","ACH-DR-YUHPATI",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-10193,0,"67331.99"
"38",38,"05/02/2018","05/02/2018","ACH DEBIT:SHRIRAM CITY UNION F,PMPRCCM1708290018",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-7300,0,"60031.99"
"39",39,"06/02/2018","06/02/2018","IMPS/P2A/803714402552/915010057728 522UTIB/DHANJAY",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-1,0,"60030.99"
"40",40,"06/02/2018","06/02/2018","IMPS/P2A/803714402809/915110057728 522UTIB/SHINDE",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-5000,0,"55030.99"
"41",41,"06/02/2018","06/02/2018","IMPS/P2A/803715404314/501002029188 73HDFC/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-500,0,"54530.99"
"42",42,"06/02/2018","06/02/2018","IMPS/P2A/803718344383/8811851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,8000,"62530.99"
"43",43,"07/02/2018","07/02/2018","ACH DEBIT:HDFC BANK LIMITED,0000049597028",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-23101,0,"39429.99"
"44",44,"08/02/2018","08/02/2018","ACH DEBIT:HDFC BANK LIMITED,0000048995809",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-18995,0,"20434.99"
"45",45,"09/02/2018","09/02/2018","IMPS/P2A/804018490498/501002029188 73HDFC/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-3000,0,"17434.99"
